timestamp,value-0,value-1,value-2,value-3,value-4,value-5,value-6,value-7,value-8,value-9,is_anomaly
0,-0.764812309272658,-4.3185092308584085,-0.5453078923300982,-4.427447723377327,-1.1862857127653683,-1.2565700067391525,-0.7687796372213507,0.12084424678048666,-1.0016109905792279,-1.5757644060024516,0
1,-0.7773328325520659,-4.320514965771773,-0.5531899762095278,-4.4353023362176875,-1.1928544445518905,-1.2693550045685702,-0.7975153842948965,0.10809435318676952,-0.9800417472399978,-1.6045534801239487,0
2,-0.7889936623793243,-4.320977454319294,-0.5621241356757618,-4.442166241628516,-1.200046540836846,-1.2824578549761108,-0.8265955833430012,0.09653407118312707,-0.9588471354012034,-1.63222224698869,0
3,-0.7997921502355279,-4.322169991624516,-0.5698305807517301,-4.449805473228246,-1.207883282841674,-1.2965722148154963,-0.8559557251961469,0.08462296520734114,-0.9380388497591632,-1.6624023182505714,0
4,-0.8103268594623652,-4.32409394536206,-0.5793152941966799,-4.457011388896953,-1.2157450201560112,-1.3110377728568277,-0.8875613627536745,0.07157549951757503,-0.9169025377756568,-1.6950140004086283,0
5,-0.8199656318473136,-4.326751801821516,-0.5890677376575459,-4.46257624567926,-1.2236536941679081,-1.3264882023632718,-0.9194102573504626,0.058908781896391815,-0.8954472078503402,-1.7287774843127277,0
6,-0.8293355145454715,-4.33091634189125,-0.5975768802460173,-4.467667992531675,-1.2316024121693108,-1.3423220441315262,-0.9524544100093459,0.04655500331361129,-0.8751303767085876,-1.7636098719870064,0
7,-0.8378328199852652,-4.335858446528695,-0.6078472284993268,-4.472280930782991,-1.2395554643936202,-1.357274921479105,-0.9846465937497078,0.03293257924262605,-0.8551659029998735,-1.7982268498509275,0
8,-0.8460847753453726,-4.340115354865954,-0.6198727271285971,-4.476437286998205,-1.247477153198377,-1.3739343874887096,-1.0179079696576259,0.02034687700365989,-0.8340415954145424,-1.8337952837493092,0
9,-0.8546907815570237,-4.344427515798707,-0.6321427048655344,-4.480734065478232,-1.2553318286369766,-1.3910047903080944,-1.0512517043450105,0.007970710265927217,-0.8124862530089179,-1.8726792191752855,0
10,-0.8630484678265262,-4.348766249850874,-0.6453876496098407,-4.485142187729062,-1.2637255546994044,-1.4097789813969401,-1.0857212661526896,-0.004988119634901311,-0.7927113345266119,-1.9111349742426578,0
11,-0.8717870781957682,-4.353137449659104,-0.6587979889083113,-4.489087392955444,-1.2726524131470718,-1.4282990460663592,-1.122315572450897,-0.01928771704741905,-0.7732352921943397,-1.9527798838428692,0
12,-0.8815087244395996,-4.356777838586254,-0.671598299145632,-4.492597164759605,-1.2821361480723648,-1.4465623143903077,-1.1580659415217427,-0.03341887662270615,-0.7547853191853875,-1.9939245528014475,0
13,-0.8910129622273211,-4.3596579210981545,-0.6860583013957378,-4.495672967055464,-1.2909468966111484,-1.4652564134116433,-1.1919872442847397,-0.04745706799848892,-0.7373294730777902,-2.0358423614797325,0
14,-0.9009606241595685,-4.362481976233666,-0.6991610333856775,-4.497743375045482,-1.298466991838676,-1.4837437337836035,-1.2250311689294011,-0.060686046889615985,-0.7208359455498186,-2.0772939923248512,0
15,-0.9095229167778489,-4.365988803921667,-0.7139110931875046,-4.499384810713804,-1.3065575230826567,-1.502620237672117,-1.2561632066921242,-0.0746941874217899,-0.7045820104493943,-2.1193792383254415,0
16,-0.9173322442973304,-4.368679548276608,-0.7272907227425693,-4.5,-1.313929888772345,-1.5225107555439559,-1.2893314385979888,-0.08948684206792734,-0.6886034682598825,-2.1644521087971342,0
17,-0.925048772110999,-4.372027633636616,-0.7392918643298765,-4.499619603067689,-1.320549370435323,-1.5428048348180918,-1.3225771388054262,-0.10431395312182423,-0.6736265013810669,-2.2100715112248968,0
18,-0.9320733946087223,-4.376037991141029,-0.7499042979912938,-4.498821298124774,-1.3264094915846458,-1.5635533529444405,-1.3549112190365535,-0.11997429567965079,-0.6581338752978658,-2.2561936663616984,0
19,-0.9383796432425748,-4.378477841100137,-0.7606561683983588,-4.49760979308928,-1.331503241172459,-1.5841441195189319,-1.3882524030960706,-0.13489137056530698,-0.6436096990807869,-2.3051722240367045,0
20,-0.9439687371386964,-4.3800857234094615,-0.7723395934265571,-4.495416804774127,-1.33769039801418,-1.6045957424701554,-1.4205964070240735,-0.14982861172693962,-0.6300539688654689,-2.354509735489871,0
21,-0.9494427788052988,-4.3815991697462735,-0.7827008023195869,-4.4927948244414155,-1.3449651883956801,-1.626219810519275,-1.453953198533117,-0.1663416104888309,-0.6174669879534014,-2.4041627909490413,0
22,-0.9553757541206043,-4.3822862458361325,-0.793967162016179,-4.489723322808545,-1.3508146705508388,-1.6484006620700837,-1.4893187785087985,-0.18134182297365586,-0.6058493931790103,-2.454087369906596,0
23,-0.9605381302056808,-4.3829523630346685,-0.8061250367573269,-4.48681029984856,-1.3571297311779988,-1.6724488511433604,-1.5237218074848244,-0.19714135591962445,-0.5944770191751934,-2.5042389561966396,0
24,-0.9649592443017265,-4.383633554997223,-0.8183911965559385,-4.483490609097843,-1.363293356388683,-1.6983512018606985,-1.5571444310820488,-0.21295583007366248,-0.5819000288192901,-2.5545726545539824,0
25,-0.9692692852488525,-4.384331121567384,-0.8299476525926388,-4.480374413724769,-1.3680471917877721,-1.7254627290627225,-1.590491845391504,-0.22724418446593098,-0.568841795645888,-2.6037877548924673,0
26,-0.9722376099968006,-4.385080658649559,-0.841550464166759,-4.476871685423724,-1.3720277896489934,-1.7544329966724532,-1.6227300976532877,-0.2400120032292603,-0.5552991873440252,-2.6505819628999494,0
27,-0.975094596853584,-4.385917513413877,-0.8539901560896255,-4.472993813109881,-1.374616792498139,-1.7833229349443247,-1.6548091816104802,-0.25205491569965854,-0.5419929258800995,-2.6985596087591777,0
28,-0.9778112508174719,-4.386807722973639,-0.8672532351358484,-4.468806703866081,-1.3776748039617712,-1.813413612658739,-1.6856489067097344,-0.2642029136875337,-0.5288500598146266,-2.746360781874253,0
29,-0.9815898764513624,-4.388451744438539,-0.8805222247763447,-4.463175227312218,-1.3805833706817219,-1.8433669972065991,-1.7171683721514217,-0.27652910447845547,-0.5158654966794538,-2.795137030659496,0
30,-0.9852284805135556,-4.390115878830624,-0.8944855910078016,-4.457886331078749,-1.3846204844231393,-1.8731381236170246,-1.7483336954122364,-0.28831409061549484,-0.5031020470452219,-2.8436997846413163,0
31,-0.9887563601649658,-4.391835384734508,-0.9091316429185436,-4.452979656548061,-1.3891410787019667,-1.9033129492189298,-1.7771417712224267,-0.2995936490822122,-0.49058821184655144,-2.8920602453399935,0
32,-0.9922028791571968,-4.393645263540396,-0.9244842471697354,-4.447321297410905,-1.3934723988016255,-1.9338442398154732,-1.8055574021409093,-0.3096100257293486,-0.47904336543149784,-2.940173913669769,0
33,-0.9949677140001001,-4.394076372431696,-0.9397980126173733,-4.440924574956791,-1.3976125053514639,-1.9640516154877052,-1.8345306697969848,-0.3206648657489206,-0.46697804907180007,-2.9892526010345115,0
