timestamp,value-0,value-1,value-2,value-3,is_anomaly
0,-2.7180448810269886,-0.6786847442096899,-2.60493184128065,-4.409088802841606,0
1,-2.718981308118948,-0.6592970403326126,-2.591438669398788,-4.412472065267185,0
2,-2.719222213882574,-0.6370471897127259,-2.578576111998931,-4.4161724444703285,0
3,-2.71875606678526,-0.6146074200095573,-2.566502780379845,-4.420152333965577,0
4,-2.71499216136975,-0.5907828040375263,-2.5535644083491658,-4.4261307243272405,0
5,-2.7105577080963337,-0.5643174438766094,-2.541491889130692,-4.430597143902759,0
6,-2.7067613448696393,-0.5404181432680173,-2.5302810407802223,-4.436208588975806,0
7,-2.70359470511246,-0.5139022654589214,-2.5232371321931453,-4.442108293368891,0
8,-2.698531152026481,-0.4861094859564492,-2.520356755064353,-4.447398570410835,0
9,-2.692943831591321,-0.4571087874695172,-2.5199834305319975,-4.4528968914833875,0
10,-2.688207130037991,-0.4308351305897222,-2.518805601120258,-4.458561775942972,0
11,-2.6843191963197217,-0.4059706418753306,-2.516897059433184,-4.463533143896648,0
12,-2.6773808926805267,-0.37860088626539157,-2.5177169378041957,-4.466949321786325,0
13,-2.671291385810639,-0.35127402559636045,-2.519602558727162,-4.470561507558031,0
14,-2.6647328206515617,-0.3226112410876718,-2.524200836081751,-4.473504838203166,0
15,-2.6589096944095507,-0.29389012535881176,-2.5280369699156995,-4.475771263298274,0
16,-2.65382806703749,-0.2664480674660943,-2.529366126603296,-4.477310841815207,0
17,-2.649556083794816,-0.23902596323564596,-2.529904853666762,-4.479011186150652,0
18,-2.644904153608715,-0.2103051783943357,-2.5330997905333676,-4.481799802473111,0
19,-2.6412049278115135,-0.18150418489938702,-2.537198328115603,-4.484767018485157,0
20,-2.6384739448960612,-0.15384161702907484,-2.5438356579683488,-4.487820836192406,0
21,-2.634208269320557,-0.12467042239170567,-2.551259057178992,-4.489152164539399,0
22,-2.632325517530859,-0.09653858934207982,-2.5611037957533873,-4.490463831138344,0
23,-2.6315866644601087,-0.07072664876369728,-2.5716951992979054,-4.492600104556238,0
24,-2.629435242217798,-0.044591414412772146,-2.586402277946428,-4.4946490743675565,0
25,-2.627154773790782,-0.018088160262077935,-2.6018972904440387,-4.495658457785805,0
26,-2.6247688747128612,0.008708269055476947,-2.6216295814822175,-4.498229548464843,0
27,-2.6209819377506216,0.03566315646658946,-2.645585072711829,-4.499694472735074,0
