timestamp,value-0,value-1,value-2,value-3,value-4,value-5,value-6,value-7,is_anomaly
0,0.25823507255333156,0.2590704692789719,0.24150852073721757,0.20738439579770862,0.18617208619488512,0.19289179187590322,0.28692225394030285,0.2772190263102838,0
1,0.3802122459829557,0.4735954382678196,0.3758042520131968,0.39707815308635386,0.39392544775468646,0.40234721782240324,0.37310949044372943,0.3591859660934524,0
2,0.6873200424973316,0.6678860355634897,0.6783187347472971,0.6395660248008861,0.6792732205508749,0.6598650843990053,0.6521679947764721,0.7153106983350321,0
3,1.2059285910806101,1.109355335656495,1.2133848596463115,1.1261971478764854,1.1296967723925906,1.065611800659101,1.0906126474688755,1.1548991405572575,0
4,1.7978880287090813,1.6790957969421407,1.8022401355512296,1.7466250259005662,1.7648882150233007,1.9000926110462053,1.8622930022635742,1.77824584266279,0
5,2.442064028045178,2.398884083799512,2.528463284008832,2.49970702840292,2.4798786878460684,2.5189972601764876,2.490566706887073,2.520909491961069,0
6,3.2958939630276043,3.3370797828297136,3.3781181778634766,3.3014773649273015,3.2778482476291786,3.3317106659930356,3.2581374938989778,3.2779863646790632,0
7,4.090307230240277,4.165331207909816,4.201384926110988,4.16513870714847,4.2215993972315555,4.132787941158031,4.173679589493915,4.1419101333102155,0
8,5.003228676062816,4.93715815037685,4.997773860060946,4.985931170373525,4.956640809149392,4.98888335484526,4.962505189684344,5.008694022084223,0
9,5.704564222184887,5.757337873684575,5.7523357020401615,5.818230806188488,5.743268915806366,5.818313910124456,5.746883936326151,5.7749468076208865,0
10,6.3622968679771414,6.369601954800228,6.503410604654112,6.415891727159367,6.403287421995573,6.380445873074309,6.398987167683121,6.337067623622036,0
11,6.839713387825386,6.915316281467264,6.890487606563739,6.814542734872402,6.951509165306382,6.787690192621959,6.799702026927662,6.805819116884623,0
12,6.958932805490384,6.986243393643654,6.904938016016942,7.030724057289319,6.993432129485092,6.993259318534548,6.973920516963534,6.964667408965734,0
13,6.695675594292188,6.744806958207272,6.69360246750445,6.678323517104925,6.663374313488659,6.650620815494057,6.71877964960772,6.678690179644185,0
14,6.05569016008008,6.037149171963589,6.107115109704105,6.054111566082983,6.094101395079423,6.091887792768276,6.028954330956422,6.117227218423791,0
15,5.007961531187997,5.01742475391903,5.017187845597599,4.9708334197312825,4.973004813711084,5.070297134499873,5.069005800848839,4.987108793453234,0
16,3.8493340840190444,3.7821876077847727,3.8150343956516295,3.7077407772469737,3.792213597950661,3.8111834942228398,3.7113344902086918,3.6547713940551736,0
17,2.256187910263146,2.359105087507666,2.297100076154406,2.2603909527724215,2.306295261879928,2.2698311859216904,2.2604847123552325,2.337834004277717,0
18,0.8964143972150658,0.8250388225763744,0.9196730995100498,0.7838621939934806,0.9112999113223775,0.8244155270386074,0.884040050145503,0.8327035138162353,0
19,-0.6066039144067299,-0.5552189357899443,-0.5233729061283262,-0.5879607544647725,-0.6689914162292143,-0.5304855557832637,-0.5644582681997262,-0.6248996202765709,0
20,-1.7309366181136674,-1.7713354908328276,-1.780261061041452,-1.7416745997145182,-1.8000170361078038,-1.7585724317175262,-1.7742152799196802,-1.7827214501174606,0
21,-2.6342150434090192,-2.6126343820162927,-2.6752884794642156,-2.5352787113613116,-2.5759640614170167,-2.626617062579442,-2.6235429450140915,-2.5964403573295307,0
22,-2.9956025934569275,-3.005896102957553,-2.973356273031046,-2.9285308001053996,-2.8702319849706255,-3.0592113331695954,-2.88382011799976,-3.0332475645075183,0
23,-2.9405702934256337,-3.027001429634059,-2.982141049428071,-3.0020318557411225,-2.939290632052062,-2.922520978525646,-2.871291734260992,-2.881809255895945,0
24,-2.597811374797676,-2.6514823876808,-2.565112270406019,-2.6145439498750194,-2.590519048520118,-2.5855009498026735,-2.594471162733396,-2.545203549411138,0
25,-1.9962987910494419,-2.026211310203481,-1.7894757932338439,-1.9690714993449232,-1.946328474952108,-2.061706129777289,-1.9635003876362624,-2.045855450662188,0
26,-1.263818102756205,-1.1480303510313088,-1.2309701487498879,-1.1514634838987505,-1.1746246382972536,-1.2469264608515676,-1.1785205805728172,-1.0892279220251504,0
27,-0.23930096945883628,-0.3998206250360148,-0.33586332254736023,-0.2525829777597031,-0.23852465812720852,-0.2091872003614036,-0.39133019890084747,-0.2892469386967995,0
28,0.5085906122765483,0.5318742338311186,0.6148948147763927,0.5236024242873238,0.49080751493303865,0.5589893196101242,0.46377424186790117,0.6090825157681721,0
29,1.1992422529648914,1.1405911596943263,1.0717174886558505,1.2378087745071227,1.136860930170723,1.1405453716400153,1.0959486952674335,1.1344056170624754,0
30,1.566996572344491,1.5482065697885719,1.5394602042678416,1.60905124101739,1.5076617608831884,1.5161635102315538,1.5093399520042727,1.5145956871056645,0
31,1.5491367072999696,1.6182118609601353,1.5440683155978203,1.5631418788989295,1.514639975611932,1.6290080397143467,1.6095224596543118,1.5129659928330585,0
32,1.43258310873467,1.4229130364447187,1.3599952150506225,1.4950592434993895,1.3653066227478683,1.3837843187583259,1.4266158426762634,1.4150884800403092,0
33,1.1210015793862866,1.0445193746485277,0.98790318755597,1.079122757312924,1.1187611991348785,1.068285836959055,1.1429952429470036,1.1275539192207675,0
34,0.6110071633503552,0.6283716539524323,0.6563625988942734,0.5820867011471449,0.5559143586465101,0.6798254798614709,0.5349474667747727,0.5762968668982116,0
35,0.1567354344293799,0.1756857649983976,0.19914424981112758,0.17123133253605904,0.18122157619068036,0.175928898008345,0.1503555927723254,0.1952191422622931,0
36,-0.23418195518084706,-0.29309694583791646,-0.2689132943675728,-0.30118698479614503,-0.1897599188182819,-0.35459891411082156,-0.2481216879332458,-0.22589563139891214,0
37,-0.7173570989733671,-0.5479757104170107,-0.6116896263853395,-0.6587308298392586,-0.5669321802381613,-0.529595813098355,-0.6003813975013956,-0.6059358311000138,0
38,-0.7865319265425845,-0.8031051943244472,-0.7138486722217208,-0.7401410754958336,-0.7511799128655005,-0.8102584636207844,-0.8708722908446382,-0.6832930898155463,0
39,-0.8091889726666787,-0.8003011244119532,-0.8179757960272267,-0.812498568203571,-0.8123093921981029,-0.6748570758970072,-0.7309295924456171,-0.7923699881833431,0
40,-0.6158925172183358,-0.6861592132268967,-0.7480947942736565,-0.6550779468701371,-0.6749416529160631,-0.6619340421605583,-0.6374656642075313,-0.5891574128439719,0
41,-0.4893188074731987,-0.370082100110189,-0.4761643744415454,-0.5210528612388869,-0.43424811761397,-0.4883106892236314,-0.4861534823792309,-0.3948802820715232,0
42,-0.2344492432044486,-0.29141034459054577,-0.17317853439572606,-0.2375673561717046,-0.16868172579407362,-0.18092514490314884,-0.2971071603900023,-0.1566311506024139,0
43,0.013094232369879739,-0.10824014222803083,-0.006426653479656831,0.0009422731689795114,0.059792334632936706,0.03041026933575065,-0.025232073634560256,-0.02091815778273084,0
44,0.1785731858470487,0.16211791695584096,0.13645832455126777,0.12473725634669641,0.09275584520503231,0.14966502888006897,0.1171326088688584,0.19714598306751868,0
45,0.3671221707794419,0.24218545284046758,0.2616023812976323,0.2174308974002494,0.26795643042833256,0.26644854587124167,0.23779010718745497,0.2109583330399188,0
46,0.2500623526502412,0.34951581610842075,0.2727394148474825,0.40548353540114446,0.27958306747722833,0.3488811101353401,0.3918789060845466,0.381427750142869,0
47,0.2745655451366263,0.32764473465316485,0.3210298954750052,0.3167267601769365,0.3332276936635543,0.3438475403610927,0.31259866227546873,0.3367132142015202,0
48,0.20552437285791142,0.17976621960963815,0.2576929718214517,0.23941192570707437,0.24050499540097878,0.3377827026216134,0.15801112926886673,0.16032945168514312,0
49,0.1492504136562499,0.08267655855428829,0.09067349653148779,0.2740488095404109,0.09983816328882637,0.0640538173137025,0.07458640086370597,0.17907533650033425,0
50,0.12174087454450605,0.12484909438803292,0.014408041819328875,0.07079393065026583,0.0310758453141802,-0.0003795427569263654,0.12313223397535195,0.17175491846015734,0
